"filename", "language", "JavaScript", "Markdown", "JavaScript JSX", "XML", "JSON", "PostCSS", "HTML", "Python", "pip requirements", "comment", "blank", "total"
"c:\Users\hp\EngineeringQuizArena\README.md", "Markdown", 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 70, 218
"c:\Users\hp\EngineeringQuizArena\backend\accounts\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hp\EngineeringQuizArena\backend\accounts\admin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 4
"c:\Users\hp\EngineeringQuizArena\backend\accounts\apps.py", "Python", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 3, 9
"c:\Users\hp\EngineeringQuizArena\backend\accounts\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 0, 0, 0, 22, 0, 1, 7, 30
"c:\Users\hp\EngineeringQuizArena\backend\accounts\migrations\0002_rename_streak_userprofile_current_streak_and_more.py", "Python", 0, 0, 0, 0, 0, 0, 0, 22, 0, 1, 6, 29
"c:\Users\hp\EngineeringQuizArena\backend\accounts\migrations\0003_userprofile_highest_rating.py", "Python", 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 6, 19
"c:\Users\hp\EngineeringQuizArena\backend\accounts\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hp\EngineeringQuizArena\backend\accounts\models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 7, 24
"c:\Users\hp\EngineeringQuizArena\backend\accounts\serializers.py", "Python", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 4, 18
"c:\Users\hp\EngineeringQuizArena\backend\accounts\signals.py", "Python", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\hp\EngineeringQuizArena\backend\accounts\tests.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 4
"c:\Users\hp\EngineeringQuizArena\backend\accounts\urls.py", "Python", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 4, 16
"c:\Users\hp\EngineeringQuizArena\backend\accounts\views.py", "Python", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 6, 28
"c:\Users\hp\EngineeringQuizArena\backend\analytics\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hp\EngineeringQuizArena\backend\analytics\admin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 4
"c:\Users\hp\EngineeringQuizArena\backend\analytics\apps.py", "Python", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 6
"c:\Users\hp\EngineeringQuizArena\backend\analytics\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hp\EngineeringQuizArena\backend\analytics\models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 4
"c:\Users\hp\EngineeringQuizArena\backend\analytics\tests.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 4
"c:\Users\hp\EngineeringQuizArena\backend\analytics\views.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 4
