"filename", "language", "PostCSS", "JavaScript", "JavaScript JSX", "Python", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\hp\EngineeringQuizArena\backend\accounts\auth_serializers.py", "Python", 0, 0, 0, 27, 0, 0, 0, 11, 38
"c:\Users\hp\EngineeringQuizArena\backend\accounts\password_serializers.py", "Python", 0, 0, 0, 63, 0, 0, 0, 17, 80
"c:\Users\hp\EngineeringQuizArena\backend\accounts\serializers.py", "Python", 0, 0, 0, 2, 0, 0, 0, 2, 4
"c:\Users\hp\EngineeringQuizArena\backend\accounts\throttles.py", "Python", 0, 0, 0, 7, 0, 0, 0, 6, 13
"c:\Users\hp\EngineeringQuizArena\backend\accounts\urls.py", "Python", 0, 0, 0, 36, 0, 0, 0, 7, 43
"c:\Users\hp\EngineeringQuizArena\backend\accounts\utils.py", "Python", 0, 0, 0, 45, 0, 0, 0, 9, 54
"c:\Users\hp\EngineeringQuizArena\backend\accounts\views.py", "Python", 0, 0, 0, 200, 0, 0, 0, 46, 246
"c:\Users\hp\EngineeringQuizArena\backend\core\settings.py", "Python", 0, 0, 0, 51, 0, 0, 20, 22, 93
"c:\Users\hp\EngineeringQuizArena\backend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 74, 0, 1, 75
"c:\Users\hp\EngineeringQuizArena\backend\package.json", "JSON", 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\hp\EngineeringQuizArena\backend\quizzes\throttles.py", "Python", 0, 0, 0, 9, 0, 0, 0, 8, 17
"c:\Users\hp\EngineeringQuizArena\backend\quizzes\views.py", "Python", 0, 0, 0, -9, 0, 0, 1, -3, -11
"c:\Users\hp\EngineeringQuizArena\docs\Day33_Report.md", "Markdown", 0, 0, 0, 0, 123, 0, 0, 71, 194
"c:\Users\hp\EngineeringQuizArena\docs\Day34_Report.md", "Markdown", 0, 0, 0, 0, 255, 0, 0, 148, 403
"c:\Users\hp\EngineeringQuizArena\docs\Day35_Report.md", "Markdown", 0, 0, 0, 0, 133, 0, 0, 57, 190
"c:\Users\hp\EngineeringQuizArena\docs\Day36_Report.md", "Markdown", 0, 0, 0, 0, 126, 0, 0, 60, 186
"c:\Users\hp\EngineeringQuizArena\docs\Day37_Report.md", "Markdown", 0, 0, 0, 0, 149, 0, 0, 94, 243
"c:\Users\hp\EngineeringQuizArena\docs\Day38_Report.md", "Markdown", 0, 0, 0, 0, 205, 0, 0, 126, 331
"c:\Users\hp\EngineeringQuizArena\docs\design-system\01-design-tokens.md", "Markdown", 0, 0, 0, 0, 133, 0, 0, 63, 196
